,fechas,pred
22669,2011-06-13 20:05:00,0.5685
22820,2011-06-14 08:40:00,0.2947
22967,2011-06-14 20:55:00,0.6493
23121,2011-06-15 09:45:00,0.2385
23265,2011-06-15 21:45:00,0.7158
23421,2011-06-16 10:45:00,0.1913
23563,2011-06-16 22:35:00,0.7626
23721,2011-06-17 11:45:00,0.1517
23861,2011-06-17 23:25:00,0.7857
24020,2011-06-18 12:40:00,0.1189
24159,2011-06-19 00:15:00,0.7825
24318,2011-06-19 13:30:00,0.0934
24456,2011-06-20 01:00:00,0.7532
24616,2011-06-20 14:20:00,0.0767
24753,2011-06-21 01:45:00,0.6994
24913,2011-06-21 15:05:00,0.0711
25051,2011-06-22 02:35:00,0.6247
25210,2011-06-22 15:50:00,0.0794
25348,2011-06-23 03:20:00,0.5342
25506,2011-06-23 16:30:00,0.1039
25646,2011-06-24 04:10:00,0.4342
25802,2011-06-24 17:10:00,0.1461
25943,2011-06-25 04:55:00,0.3315
26097,2011-06-25 17:45:00,0.2058
26242,2011-06-26 05:50:00,0.2334
26393,2011-06-26 18:25:00,0.2809
26540,2011-06-27 06:40:00,0.1465
26690,2011-06-27 19:10:00,0.3675
26839,2011-06-28 07:35:00,0.0765
26987,2011-06-28 19:55:00,0.4602
27138,2011-06-29 08:30:00,0.027
27284,2011-06-29 20:40:00,0.553
27437,2011-06-30 09:25:00,-0.0005
27581,2011-06-30 21:25:00,0.6392
27735,2011-07-01 10:15:00,-0.0062
27878,2011-07-01 22:10:00,0.7123
28032,2011-07-02 11:00:00,0.0081
28176,2011-07-02 23:00:00,0.7662
28330,2011-07-03 11:50:00,0.0402
28474,2011-07-03 23:50:00,0.7959
28627,2011-07-04 12:35:00,0.0866
28772,2011-07-05 00:40:00,0.7979
28925,2011-07-05 13:25:00,0.1441
29070,2011-07-06 01:30:00,0.7711
29223,2011-07-06 14:15:00,0.2088
29368,2011-07-07 02:20:00,0.7168
29521,2011-07-07 15:05:00,0.2778
29667,2011-07-08 03:15:00,0.6388
29819,2011-07-08 15:55:00,0.3487
29966,2011-07-09 04:10:00,0.544
30118,2011-07-09 16:50:00,0.4199
30266,2011-07-10 05:10:00,0.4411
30417,2011-07-10 17:45:00,0.4902
30566,2011-07-11 06:10:00,0.3407
30716,2011-07-11 18:40:00,0.5584
30867,2011-07-12 07:15:00,0.2527
31015,2011-07-12 19:35:00,0.6226
31169,2011-07-13 08:25:00,0.1844
31314,2011-07-13 20:30:00,0.6796
31470,2011-07-14 09:30:00,0.138
31613,2011-07-14 21:25:00,0.7248
31771,2011-07-15 10:35:00,0.1104
31912,2011-07-15 22:20:00,0.7532
32071,2011-07-16 11:35:00,0.0956
32210,2011-07-16 23:10:00,0.7605
32369,2011-07-17 12:25:00,0.089
32507,2011-07-17 23:55:00,0.7439
32666,2011-07-18 13:10:00,0.0889
32804,2011-07-19 00:40:00,0.7027
32961,2011-07-19 13:45:00,0.0962
33101,2011-07-20 01:25:00,0.6387
33257,2011-07-20 14:25:00,0.1136
33398,2011-07-21 02:10:00,0.5553
33552,2011-07-21 15:00:00,0.1432
33695,2011-07-22 02:55:00,0.4579
33846,2011-07-22 15:30:00,0.186
33991,2011-07-23 03:35:00,0.3532
34142,2011-07-23 16:10:00,0.241
34288,2011-07-24 04:20:00,0.2484
34438,2011-07-24 16:50:00,0.3055
34586,2011-07-25 05:10:00,0.151
34735,2011-07-25 17:35:00,0.3764
34884,2011-07-26 06:00:00,0.0686
35032,2011-07-26 18:20:00,0.4507
35183,2011-07-27 06:55:00,0.0088
35331,2011-07-27 19:15:00,0.526
35483,2011-07-28 07:55:00,-0.023
35629,2011-07-28 20:05:00,0.5991
35782,2011-07-29 08:50:00,-0.0249
35928,2011-07-29 21:00:00,0.6658
36081,2011-07-30 09:45:00,0.001
36226,2011-07-30 21:50:00,0.7207
36379,2011-07-31 10:35:00,0.0495
36524,2011-07-31 22:40:00,0.7579
36677,2011-08-01 11:25:00,0.1146
36823,2011-08-01 23:35:00,0.7722
36975,2011-08-02 12:15:00,0.1895
37121,2011-08-03 00:25:00,0.7595
37272,2011-08-03 13:00:00,0.268
37419,2011-08-04 01:15:00,0.7184
37569,2011-08-04 13:45:00,0.344
37717,2011-08-05 02:05:00,0.6504
37867,2011-08-05 14:35:00,0.4136
38015,2011-08-06 02:55:00,0.5598
38165,2011-08-06 15:25:00,0.4738
38314,2011-08-07 03:50:00,0.4546
38464,2011-08-07 16:20:00,0.5241
38614,2011-08-08 04:50:00,0.3453
38763,2011-08-08 17:15:00,0.566
38915,2011-08-09 05:55:00,0.2441
